"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19500","Decatur, IL (Metropolitan Statistical Area)",5251,4990,5180,5491,5638,5690,5894,6013,5618,5560,5713,5566,5470,5608,5436
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",12904,13086,13565,14111,14716,15103,15216,14244,13345,13330,12805,12837,12847,13153,13524
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",132196,134791,135424,137502,144186,146616,148613,151665,150091,152295,154218,159677,163937,171639,178428
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",28595,29451,31576,34346,36595,36082,39725,36240,35409,35965,37254,39713,38926,40618,41422
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",220489,224264,228938,226280,230433,223694,221690,208375,186184,197260,204961,210983,213481,216657,221243
"20020","Dothan, AL (Metropolitan Statistical Area)",4007,4314,4453,4664,4873,4901,4820,4567,4436,4519,4438,4415,4465,4481,4556
"20100","Dover, DE (Metropolitan Statistical Area)",5207,5388,5520,5919,5960,6055,6066,5906,6322,6012,5976,5972,5957,6234,6306
"20220","Dubuque, IA (Metropolitan Statistical Area)",3561,3747,3859,4213,4357,4434,4476,4366,4194,4450,4493,5071,4778,4928,4972
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",9557,10047,10205,10523,10528,10340,10299,10317,9703,10679,11245,10830,11337,11567,11095
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",25004,26329,27739,27877,29100,34284,37056,38638,39013,39956,36874,36627,38599,39325,39411
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",4536,4697,4696,4975,5228,5414,5651,5685,5588,5571,5236,5077,4982,4882,5041
"20740","Eau Claire, WI (Metropolitan Statistical Area)",5129,5409,5645,5853,6293,6398,6411,6269,6227,6468,6529,6830,6783,7076,7280
"20940","El Centro, CA (Metropolitan Statistical Area)",3645,4208,4142,4085,4343,4660,4484,4914,4903,4808,5015,4729,4835,5083,5196
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4073,4163,4374,4571,4609,4811,4653,4756,4708,5352,5590,5602,5774,5503,5637
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",8280,8984,9923,10469,10880,11388,11737,10263,7929,10262,10402,11073,11763,12388,12842
"21300","Elmira, NY (Metropolitan Statistical Area)",2737,2716,2742,2804,2935,2901,2901,3005,2930,3129,3180,3190,3139,3091,3038
"21340","El Paso, TX (Metropolitan Statistical Area)",23031,23730,23786,23688,23779,25303,25745,24428,24386,24714,24745,25125,24905,25072,25895
"21420","Enid, OK (Metropolitan Statistical Area)",1740,1800,1948,1982,2016,2141,2148,2186,2240,2281,2342,2579,2713,2836,2859
"21500","Erie, PA (Metropolitan Statistical Area)",9660,9390,9434,9826,10035,10116,10224,10255,9625,9614,9993,9708,9853,9708,9708
"21660","Eugene, OR (Metropolitan Statistical Area)",10076,10301,10635,11350,11621,12125,12549,12808,11570,11645,11920,12047,12343,12436,12820
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",14653,15296,15524,15601,15244,15281,15208,15553,15237,15593,15570,14947,14821,14967,15250
"21820","Fairbanks, AK (Metropolitan Statistical Area)",4662,4496,4761,4927,5050,5353,5468,5429,5050,5036,5084,5055,4920,4920,4825
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",8021,8497,8832,9207,9393,9695,9889,10448,10414,11132,12146,13059,13126,13539,13713
"22140","Farmington, NM (Metropolitan Statistical Area)",5508,5453,5369,5556,5539,5718,5856,5932,6332,5808,6226,6256,6103,6329,6200
"22180","Fayetteville, NC (Metropolitan Statistical Area)",12514,12761,13112,13438,14229,14537,14756,15567,16136,16375,16435,16277,15922,15380,15250
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",13374,14393,15680,17050,18025,18630,18512,19090,18350,19936,21226,21302,21657,22790,23784
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",3826,3964,4134,4260,4467,4809,5227,5108,4785,4793,4679,4637,4803,4837,4903
"22420","Flint, MI (Metropolitan Statistical Area)",13393,14039,14345,14188,14046,13909,13393,12272,11306,11872,11982,12086,12128,12226,12541
"22500","Florence, SC (Metropolitan Statistical Area)",6913,7007,7236,7224,7326,7465,7629,7372,7027,6907,6793,6892,7169,7216,7271
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",3542,3540,3678,3833,3956,4030,3993,3912,3890,3963,3951,3991,4110,4220,4324
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",3686,3624,3752,3902,3952,4018,4027,3975,3652,3730,3848,3892,3911,4083,4139
